科目编码,一级科目,明细科目,负责团队,预算万元,实际万元,差异万元,差异率,有利不利,原因摘要
REV-001,营业收入,产品订阅收入,经营分析,900,875,-25,-2.78%,不利,重点客户验收延后导致60万元收入递延，其他客户新增订阅部分抵消
REV-002,营业收入,实施服务收入,经营分析,450,405,-45,-10.00%,不利,两项实施项目里程碑顺延
COGS-001,营业成本,产品及云资源成本,财务,580.5,552,-28.5,-4.91%,有利,云资源单价优化且递延项目减少资源消耗
COGS-002,营业成本,实施交付成本,财务,351,344,-7,-1.99%,有利,外包交付人员投入低于计划
OPEX-001,期间费用,销售费用,财务,72,75,3,4.17%,不利,行业展会差旅及物料超预算
OPEX-002,期间费用,管理费用,财务,80,88,8,10.00%,不利,招聘服务费与办公场地维修提前发生
OPEX-003,期间费用,研发费用,财务,60,62,2,3.33%,不利,测试环境临时扩容
OPEX-004,期间费用,行政采购专项费用,行政,18,25,7,38.89%,不利,会议设备升级与存储扩容超预算
GP-001,毛利额,毛利额,经营分析,418.5,384,-34.5,-8.24%,不利,收入未达预算但营业成本同步减少
OP-001,经营利润,经营利润,经营分析,188.5,134,-54.5,-28.91%,不利,毛利少34.5万元且期间费用超20万元
